date,time,lat,lon,alt,x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,north,east,down,pitch,yaw,roll,wind_speed,wind_direction
2020/8/10,13:28:07,22.9028065,120.2731275,0.013,0,-1,-8,53,-6,-999,0.222642899,-0.139526367,-0.013636351,0.048458736,0.000650754,0.013549627,37,170
2020/8/10,13:28:10,22.902809,120.2731276,2.809,34,86,-36,158,100,-934,0.508985043,-0.126319885,-2.809570789,0.057086125,-0.537533283,-0.084651679,37,170
2020/8/10,13:28:13,22.9028085,120.2731266,9.181,211,191,120,67,0,-1041,0.456366539,-0.231536865,-9.181606293,0.107644081,-0.293527901,-0.073190436,37,170
2020/8/10,13:28:16,22.9028049,120.2731266,14.47,10,66,-281,79,52,-940,0.05547905,-0.234579086,-14.47025204,0.165568784,-0.161520258,-0.057484515,37,170
2020/8/10,13:28:19,22.9027692,120.273109,15.121,-41,-104,133,-124,73,-1015,-3.924068451,-2.039552689,-15.1211462,-0.205964163,-2.759610891,-0.013291437,37,170
2020/8/10,13:28:22,22.9027013,120.2730695,15.025,-150,27,-57,-183,28,-1065,-11.4839983,-6.086587906,-15.02558804,-0.166352466,-2.835895777,-0.041864872,37,170
2020/8/10,13:28:25,22.9026285,120.2730343,15.162,19,-36,-32,-224,-34,-1009,-19.59186935,-9.694086075,-15.16266632,-0.148295611,-2.768718243,-0.059789479,37,170
2020/8/10,13:28:28,22.9025583,120.2729999,15.172,75,102,37,-130,-30,-1035,-27.40520096,-13.22250557,-15.17226601,-0.126479909,-2.693572283,-0.02296697,37,170
2020/8/10,13:28:31,22.9024855,120.2729587,15.047,-106,36,-8,-47,28,-991,-35.51021957,-17.4464817,-15.04752731,-0.119498156,-2.761275291,0.004904428,37,170
2020/8/10,13:28:34,22.9024393,120.2729343,14.925,31,-112,6,-86,72,-1039,-40.65085602,-19.95281029,-14.92557907,0.042660709,-2.818233967,-0.021671219,37,170
2020/8/10,13:28:37,22.9024804,120.2729283,14.763,141,151,806,75,-10,-977,-36.07509613,-20.56178856,-14.76362419,0.006391156,-0.319567591,-0.060538113,37,170
2020/8/10,13:28:40,22.9025464,120.2729149,14.894,-2,-120,140,-67,-21,-997,-28.72285843,-21.94421196,-14.89431953,0.006472068,-0.161243483,-0.032725528,37,170
2020/8/10,13:28:43,22.9026143,120.2729012,14.998,-43,20,-49,44,26,-970,-21.17022324,-23.34796333,-14.99891186,-0.024818152,-0.150527373,-0.015825596,37,170
2020/8/10,13:28:46,22.9027006,120.2728858,15.086,42,-30,-50,71,42,-965,-11.55552387,-24.92162895,-15.08684635,0.029631574,-0.12677829,-0.018700648,37,170
2020/8/10,13:28:49,22.9027755,120.2728725,15.145,-3,29,31,52,-42,-990,-3.224041939,-26.28680229,-15.14514732,0.146868169,-0.133266658,0.016710177,37,170
2020/8/10,13:28:52,22.9027872,120.2728673,15.35,-53,-27,-1181,105,62,-960,-1.920557022,-26.81840706,-15.3508873,0.09888842,-1.097909808,-0.149857372,37,170
2020/8/10,13:28:55,22.9027307,120.2728404,15.175,16,6,-31,-138,-15,-1034,-8.20424366,-29.57615852,-15.17578697,-0.124472842,-2.753736973,-0.046791792,37,170
2020/8/10,13:28:58,22.9026612,120.2728055,14.924,15,-91,-34,-172,60,-1028,-15.94141293,-33.15458679,-14.92411232,-0.174496338,-2.768860817,-0.066399433,37,170
2020/8/10,13:29:01,22.9025865,120.2727707,15.065,342,177,-20,-183,94,-1090,-24.25825882,-36.72298431,-15.06503773,-0.18163687,-2.744827747,-0.05790586,37,170
2020/8/10,13:29:04,22.9025148,120.2727343,14.922,117,-168,-11,-187,-9,-968,-32.2397728,-40.45894623,-14.92254543,-0.160781324,-2.786154509,-0.066352963,37,170
2020/8/10,13:29:07,22.9024431,120.272703,15.065,96,139,0,-186,66,-1067,-40.21987534,-43.67042542,-15.06574821,-0.192396969,-2.710596561,-0.053685673,37,170
2020/8/10,13:29:10,22.9023918,120.2726783,15.208,13,-4,20,-145,127,-999,-45.93402863,-46.20269775,-15.20820141,-0.02778725,-2.723917961,-0.02925588,37,170
2020/8/10,13:29:13,22.9024236,120.2726688,14.904,-46,62,1084,90,96,-962,-42.39859009,-47.17347717,-14.90479088,0.031009819,-0.425731659,-0.022997044,37,170
2020/8/10,13:29:16,22.9024895,120.2726605,14.909,21,-3,143,85,43,-939,-35.01302338,-48.03691864,-14.91197014,0.045777909,-0.170747176,-0.066508397,37,170
2020/8/10,13:29:19,22.9025643,120.2726458,15.023,-57,46,9,83,79,-954,-26.73442078,-49.53405762,-15.02361107,0.044261225,-0.181241244,-0.036434896,37,170
2020/8/10,13:29:22,22.9026403,120.2726314,15.078,46,-71,66,-14,4,-1033,-18.2734642,-51.0138092,-15.07882023,0.025639705,-0.14829126,-0.047588937,37,170
2020/8/10,13:29:25,22.9027205,120.2726181,15.133,-10,195,-123,-10,64,-958,-9.347558022,-52.37130737,-15.13325882,0.011439241,-0.088895261,-0.0448111,37,170
2020/8/10,13:29:28,22.9027618,120.2726292,15.091,35,-26,10,-47,-33,-993,-4.752494812,-51.24053192,-15.09132385,-0.085405797,1.475352883,0.080437638,37,170
2020/8/10,13:29:31,22.9027684,120.2727056,15.195,378,77,56,-25,-130,-943,-4.014932632,-43.40300751,-15.19551754,-0.035029761,1.382803202,0.090018339,37,170
2020/8/10,13:29:34,22.9027773,120.2727873,14.974,-17,-55,-41,3,-64,-973,-3.018326759,-35.02654266,-14.97474861,-0.031255931,1.525603294,0.125095323,37,170
2020/8/10,13:29:37,22.9027813,120.2728693,14.619,-36,-81,-20,-4,-81,-962,-2.578549385,-26.61741066,-14.61977291,-0.000817239,1.44318831,0.11910513,37,170
2020/8/10,13:29:40,22.9027881,120.2729579,14.684,85,145,80,34,-62,-957,-1.815423965,-17.5309124,-14.68406963,-0.043611486,1.391228437,0.064330585,37,170
2020/8/10,13:29:43,22.9027952,120.273043,14.544,106,-52,48,-19,-44,-996,-1.031375885,-8.808019638,-14.54410267,-0.039050028,1.363041162,0.056576274,37,170
2020/8/10,13:29:46,22.902805,120.2731172,14.361,-29,-162,100,66,-28,-864,0.066308975,-1.189544678,-14.36114597,0.206218377,1.52553463,0.128260016,37,170
2020/8/10,13:29:49,22.9028017,120.2731193,10.684,-2,-38,-148,-13,-24,-1160,-0.307307243,-0.977920532,-10.68427467,0.035568167,1.503114581,0.005183035,37,170
2020/8/10,13:29:52,22.9028046,120.2731173,8.647,5,-150,68,43,-12,-971,0.015962601,-1.180475235,-8.647894859,0.019220874,1.49834013,0.031763762,37,170
2020/8/10,13:29:55,22.9028041,120.2731217,7.021,90,-45,0,27,-80,-1000,-0.039581299,-0.731079102,-7.021709442,0.037143998,1.539681792,0.032100886,37,170
2020/8/10,13:29:58,22.9028043,120.2731195,5.708,-117,-49,-112,60,4,-937,-0.013896942,-0.962814331,-5.708082199,-0.018095341,1.568139315,0.018022271,37,170
2020/8/10,13:30:01,22.9028051,120.2731224,4.295,54,-38,-72,-41,-72,-1014,0.069549561,-0.65804863,-4.295289993,0.053427249,1.545593619,0.056196615,37,170
2020/8/10,13:30:04,22.9028046,120.2731208,2.806,-3,11,-8,67,14,-947,0.020375252,-0.822950363,-2.806591511,0.045964513,1.526992083,0.038011692,37,170
2020/8/10,13:30:07,22.9028031,120.2731198,1.254,-13,57,-6,93,73,-970,-0.150818825,-0.929323196,-1.254408956,0.038762048,1.500620008,0.019971585,37,170
